service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
C.641,0,0,0,0,0,0,0,20230305,20230319
C.643,0,0,0,0,0,0,0,20230320,20230527
C.642,0,0,0,0,0,0,0,20230528,20230916
B.641,0,0,0,0,0,0,0,20230305,20230319
B.643,0,0,0,0,0,0,0,20230320,20230527
B.642,0,0,0,0,0,0,0,20230528,20230916
8.641,0,0,0,0,0,0,0,20230305,20230319
8.643,0,0,0,0,0,0,0,20230320,20230527
8.642,0,0,0,0,0,0,0,20230528,20230916
7.641,0,0,0,0,0,0,0,20230305,20230319
7.643,0,0,0,0,0,0,0,20230320,20230527
7.642,0,0,0,0,0,0,0,20230528,20230916
W.641,0,0,0,0,0,0,0,20230305,20230319
W.643,0,0,0,0,0,0,0,20230320,20230527
W.642,0,0,0,0,0,0,0,20230528,20230916
D.641,0,0,0,0,0,0,0,20230305,20230319
D.643,0,0,0,0,0,0,0,20230320,20230527
D.642,0,0,0,0,0,0,0,20230528,20230916
Q.641,0,0,0,0,0,0,0,20230305,20230319
Q.643,0,0,0,0,0,0,0,20230320,20230527
Q.642,0,0,0,0,0,0,0,20230528,20230916
U.641,0,0,0,0,0,0,0,20230305,20230319
U.643,0,0,0,0,0,0,0,20230320,20230527
U.642,0,0,0,0,0,0,0,20230528,20230916
X.641,0,0,0,0,0,0,0,20230305,20230319
X.643,0,0,0,0,0,0,0,20230320,20230527
X.642,0,0,0,0,0,0,0,20230528,20230916
S.641,0,0,0,0,0,0,0,20230305,20230319
S.643,0,0,0,0,0,0,0,20230320,20230527
S.642,0,0,0,0,0,0,0,20230528,20230916
F.641,0,0,0,0,0,0,0,20230305,20230319
F.643,0,0,0,0,0,0,0,20230320,20230527
F.642,0,0,0,0,0,0,0,20230528,20230916
f.641,0,0,0,0,0,0,0,20230305,20230319
f.643,0,0,0,0,0,0,0,20230320,20230527
f.642,0,0,0,0,0,0,0,20230528,20230916
E.641,0,0,0,0,0,0,0,20230305,20230319
E.643,0,0,0,0,0,0,0,20230320,20230527
E.642,0,0,0,0,0,0,0,20230528,20230916
A.641,0,0,0,0,0,0,0,20230305,20230319
A.643,0,0,0,0,0,0,0,20230320,20230527
A.642,0,0,0,0,0,0,0,20230528,20230916
H.643,0,0,0,0,0,0,0,20230320,20230527
I.643,0,0,0,0,0,0,0,20230320,20230527
J.643,0,0,0,0,0,0,0,20230320,20230527
g.642,0,0,0,0,0,0,0,20230528,20230916
J.642,0,0,0,0,0,0,0,20230528,20230916
