service_id,date,exception_type
C.641,20230305,1
C.641,20230312,1
C.641,20230319,1
C.643,20230326,1
C.643,20230402,1
C.643,20230409,1
C.643,20230507,1
C.643,20230514,1
C.643,20230521,1
C.642,20230528,1
C.642,20230604,1
C.642,20230611,1
C.642,20230618,1
C.642,20230625,1
C.642,20230702,1
C.642,20230709,1
C.642,20230716,1
C.642,20230723,1
C.642,20230730,1
C.642,20230806,1
C.642,20230813,1
C.642,20230820,1
C.642,20230827,1
C.642,20230903,1
C.642,20230910,1
B.641,20230311,1
B.641,20230318,1
B.643,20230325,1
B.643,20230401,1
B.643,20230408,1
B.643,20230415,1
B.643,20230513,1
B.643,20230520,1
B.643,20230527,1
B.642,20230603,1
B.642,20230610,1
B.642,20230617,1
B.642,20230624,1
B.642,20230701,1
B.642,20230708,1
B.642,20230715,1
B.642,20230722,1
B.642,20230729,1
B.642,20230805,1
B.642,20230812,1
B.642,20230819,1
B.642,20230826,1
B.642,20230902,1
B.642,20230909,1
B.642,20230916,1
8.641,20230311,1
8.641,20230318,1
8.643,20230325,1
8.643,20230401,1
8.643,20230408,1
8.643,20230415,1
8.643,20230422,1
8.643,20230429,1
8.643,20230506,1
8.643,20230513,1
8.643,20230520,1
8.643,20230527,1
8.642,20230603,1
8.642,20230610,1
8.642,20230617,1
8.642,20230624,1
8.642,20230701,1
8.642,20230708,1
8.642,20230715,1
8.642,20230722,1
8.642,20230729,1
8.642,20230805,1
8.642,20230812,1
8.642,20230819,1
8.642,20230826,1
8.642,20230902,1
8.642,20230909,1
8.642,20230916,1
7.641,20230306,1
7.641,20230307,1
7.641,20230308,1
7.641,20230309,1
7.641,20230310,1
7.641,20230313,1
7.641,20230314,1
7.641,20230315,1
7.641,20230316,1
7.641,20230317,1
7.643,20230320,1
7.643,20230321,1
7.643,20230322,1
7.643,20230323,1
7.643,20230324,1
7.643,20230327,1
7.643,20230328,1
7.643,20230329,1
7.643,20230330,1
7.643,20230331,1
7.643,20230403,1
7.643,20230404,1
7.643,20230405,1
7.643,20230406,1
7.643,20230407,1
7.643,20230410,1
7.643,20230411,1
7.643,20230412,1
7.643,20230413,1
7.643,20230414,1
7.643,20230417,1
7.643,20230418,1
7.643,20230419,1
7.643,20230420,1
7.643,20230421,1
7.643,20230424,1
7.643,20230425,1
7.643,20230426,1
7.643,20230427,1
7.643,20230428,1
7.643,20230501,1
7.643,20230502,1
7.643,20230503,1
7.643,20230504,1
7.643,20230505,1
7.643,20230508,1
7.643,20230509,1
7.643,20230510,1
7.643,20230511,1
7.643,20230512,1
7.643,20230515,1
7.643,20230516,1
7.643,20230517,1
7.643,20230518,1
7.643,20230519,1
7.643,20230522,1
7.643,20230523,1
7.643,20230524,1
7.643,20230525,1
7.643,20230526,1
7.642,20230530,1
7.642,20230531,1
7.642,20230601,1
7.642,20230602,1
7.642,20230605,1
7.642,20230606,1
7.642,20230607,1
7.642,20230608,1
7.642,20230609,1
7.642,20230612,1
7.642,20230613,1
7.642,20230614,1
7.642,20230615,1
7.642,20230616,1
7.642,20230620,1
7.642,20230621,1
7.642,20230622,1
7.642,20230623,1
7.642,20230626,1
7.642,20230627,1
7.642,20230628,1
7.642,20230629,1
7.642,20230630,1
7.642,20230705,1
7.642,20230706,1
7.642,20230707,1
7.642,20230710,1
7.642,20230711,1
7.642,20230712,1
7.642,20230713,1
7.642,20230714,1
7.642,20230717,1
7.642,20230718,1
7.642,20230719,1
7.642,20230720,1
7.642,20230721,1
7.642,20230724,1
7.642,20230725,1
7.642,20230726,1
7.642,20230727,1
7.642,20230728,1
7.642,20230731,1
7.642,20230801,1
7.642,20230802,1
7.642,20230803,1
7.642,20230804,1
7.642,20230807,1
7.642,20230808,1
7.642,20230809,1
7.642,20230810,1
7.642,20230811,1
7.642,20230814,1
7.642,20230815,1
7.642,20230816,1
7.642,20230817,1
7.642,20230818,1
7.642,20230821,1
7.642,20230822,1
7.642,20230823,1
7.642,20230824,1
7.642,20230825,1
7.642,20230828,1
7.642,20230829,1
7.642,20230830,1
7.642,20230831,1
7.642,20230901,1
7.642,20230905,1
7.642,20230906,1
7.642,20230907,1
7.642,20230908,1
7.642,20230911,1
7.642,20230912,1
7.642,20230913,1
7.642,20230914,1
7.642,20230915,1
W.641,20230306,1
W.641,20230307,1
W.641,20230308,1
W.641,20230309,1
W.641,20230310,1
W.641,20230313,1
W.641,20230314,1
W.641,20230315,1
W.641,20230316,1
W.641,20230317,1
W.643,20230320,1
W.643,20230321,1
W.643,20230322,1
W.643,20230323,1
W.643,20230324,1
W.643,20230327,1
W.643,20230328,1
W.643,20230329,1
W.643,20230330,1
W.643,20230331,1
W.643,20230403,1
W.643,20230404,1
W.643,20230405,1
W.643,20230406,1
W.643,20230407,1
W.643,20230410,1
W.643,20230411,1
W.643,20230412,1
W.643,20230413,1
W.643,20230414,1
W.643,20230417,1
W.643,20230418,1
W.643,20230419,1
W.643,20230420,1
W.643,20230421,1
W.643,20230424,1
W.643,20230425,1
W.643,20230426,1
W.643,20230427,1
W.643,20230428,1
W.643,20230501,1
W.643,20230502,1
W.643,20230503,1
W.643,20230504,1
W.643,20230505,1
W.643,20230508,1
W.643,20230509,1
W.643,20230510,1
W.643,20230511,1
W.643,20230512,1
W.643,20230515,1
W.643,20230516,1
W.643,20230517,1
W.643,20230518,1
W.643,20230519,1
W.643,20230522,1
W.643,20230523,1
W.643,20230524,1
W.643,20230525,1
W.643,20230526,1
W.642,20230530,1
W.642,20230531,1
W.642,20230601,1
W.642,20230602,1
W.642,20230605,1
W.642,20230606,1
W.642,20230607,1
W.642,20230608,1
W.642,20230609,1
W.642,20230612,1
W.642,20230613,1
W.642,20230614,1
W.642,20230615,1
W.642,20230616,1
W.642,20230620,1
W.642,20230621,1
W.642,20230622,1
W.642,20230623,1
W.642,20230626,1
W.642,20230627,1
W.642,20230628,1
W.642,20230629,1
W.642,20230630,1
W.642,20230703,1
W.642,20230705,1
W.642,20230706,1
W.642,20230707,1
W.642,20230710,1
W.642,20230711,1
W.642,20230712,1
W.642,20230713,1
W.642,20230714,1
W.642,20230717,1
W.642,20230718,1
W.642,20230719,1
W.642,20230720,1
W.642,20230721,1
W.642,20230724,1
W.642,20230725,1
W.642,20230726,1
W.642,20230727,1
W.642,20230728,1
W.642,20230731,1
W.642,20230801,1
W.642,20230802,1
W.642,20230803,1
W.642,20230804,1
W.642,20230807,1
W.642,20230808,1
W.642,20230809,1
W.642,20230810,1
W.642,20230811,1
W.642,20230814,1
W.642,20230815,1
