stop_id,feature_name
2,Pavement at back door
2,Schedule display
2,Crosswalk near stop
2,Curb ramp near stop
2,Pavement at front door
2,Sidewalk at stop
3,Pavement at back door
3,Bench near stop
3,Crosswalk near stop
3,Curb ramp near stop
3,Pavement at front door
3,Sidewalk at stop
3,Garbage Can
3,Traffic signal
4,Pavement at back door
4,Schedule display
4,Crosswalk near stop
4,Curb ramp near stop
4,Pavement at front door
4,Sidewalk at stop
6,Pavement at back door
6,Schedule display
6,Crosswalk near stop
6,Curb ramp near stop
6,Pavement at front door
6,Sidewalk at stop
6,Traffic signal
7,Pavement at back door
7,Schedule display
7,Crosswalk near stop
7,Curb ramp near stop
7,Pavement at front door
7,Lighting at stop
7,Sidewalk at stop
7,Traffic signal
8,Pavement at back door
8,Schedule display
8,Curb ramp near stop
8,Pavement at front door
8,Lighting at stop
8,Sidewalk at stop
9,Schedule display
9,Curb ramp near stop
9,Pavement at front door
9,Lighting at stop
9,Sidewalk at stop
10,Schedule display
10,Curb ramp near stop
10,Lighting at stop
10,Sidewalk at stop
11,Schedule display
11,Curb ramp near stop
11,Pavement at front door
11,Lighting at stop
11,Sidewalk at stop
12,Schedule display
12,Curb ramp near stop
12,Pavement at front door
12,Lighting at stop
12,Sidewalk at stop
13,Schedule display
13,Curb ramp near stop
13,Pavement at front door
13,Lighting at stop
13,Sidewalk at stop
14,Schedule display
14,Curb ramp near stop
14,Pavement at front door
14,Lighting at stop
14,Sidewalk at stop
16,Pavement at back door
16,Schedule display
16,Crosswalk near stop
16,Curb ramp near stop
16,Pavement at front door
16,Lighting at stop
16,Sidewalk at stop
17,Pavement at back door
17,Schedule display
17,Bench near stop
17,Crosswalk near stop
17,Curb ramp near stop
17,Pavement at front door
17,Sidewalk at stop
17,Garbage Can
20,Schedule display
20,Lighting at stop
21,Schedule display
21,Lighting at stop
26,Schedule display
26,Lighting at stop
28,TransitTracker sign
28,Pavement at back door
28,Schedule display
28,Bench near stop
28,Crosswalk near stop
28,Curb ramp near stop
28,Pavement at front door
28,Lighting at stop
28,Shelter
28,Sidewalk at stop
28,Traffic signal
30,Pavement at back door
30,Schedule display
30,Bench near stop
30,Crosswalk near stop
30,Curb ramp near stop
30,Pavement at front door
30,Sidewalk at stop
30,Traffic signal
31,Pavement at back door
31,Schedule display
31,Bench near stop
31,Curb ramp near stop
31,Pavement at front door
31,Lighting at stop
31,Sidewalk at stop
31,Garbage Can
32,Pavement at back door
32,Schedule display
32,Bench near stop
32,Bench near stop
32,Crosswalk near stop
32,Curb ramp near stop
32,Pavement at front door
32,Lighting at stop
32,Shelter
32,Sidewalk at stop
32,Garbage Can
32,Traffic signal
33,Pavement at back door
33,Schedule display
33,Bench near stop
33,Curb ramp near stop
33,Pavement at front door
33,Lighting at stop
33,Sidewalk at stop
33,Garbage Can
34,Pavement at back door
34,Schedule display
34,Bench near stop
34,Crosswalk near stop
34,Curb ramp near stop
34,Pavement at front door
34,Lighting at stop
34,Sidewalk at stop
34,Traffic signal
35,TransitTracker sign
35,Pavement at back door
35,Schedule display
35,Bench near stop
35,Bench near stop
35,Crosswalk near stop
35,Curb ramp near stop
35,Pavement at front door
35,Lighting at stop
35,Shelter
35,Sidewalk at stop
35,Garbage Can
35,Traffic signal
40,Pavement at back door
40,Schedule display
40,Bench near stop
40,Curb ramp near stop
40,Pavement at front door
40,Lighting at stop
40,Shelter
40,Sidewalk at stop
41,Schedule display
41,Schedule display
41,Bench near stop
41,Curb ramp near stop
41,Pavement at front door
41,Lighting at stop
41,Shelter
41,Sidewalk at stop
42,Schedule display
42,Bench near stop
42,Curb ramp near stop
42,Pavement at front door
42,Lighting at stop
42,Shelter
42,Sidewalk at stop
43,Schedule display
43,Pavement at front door
43,Lighting at stop
43,Sidewalk at stop
44,Schedule display
44,Lighting at stop
44,Sidewalk at stop
45,Pavement at back door
45,Schedule display
45,Pavement at front door
45,Lighting at stop
45,Sidewalk at stop
46,Pavement at back door
46,Schedule display
46,Bench near stop
46,Crosswalk near stop
46,Curb ramp near stop
46,Pavement at front door
46,Lighting at stop
46,Shelter
46,Sidewalk at stop
46,Garbage Can
46,Traffic signal
48,Pavement at back door
48,Schedule display
48,Bench near stop
48,Crosswalk near stop
48,Curb ramp near stop
48,Pavement at front door
48,Lighting at stop
48,Sidewalk at stop
49,Pavement at back door
49,Schedule display
49,Crosswalk near stop
49,Curb ramp near stop
49,Pavement at front door
49,Lighting at stop
49,Sidewalk at stop
50,Pavement at back door
50,Schedule display
50,Bench near stop
50,Curb ramp near stop
50,Pavement at front door
50,Lighting at stop
50,Shelter
50,Sidewalk at stop
51,Pavement at back door
51,Schedule display
51,Bench near stop
51,Curb ramp near stop
51,Pavement at front door
51,Sidewalk at stop
52,Pavement at back door
52,Schedule display
52,Bench near stop
52,Crosswalk near stop
52,Curb ramp near stop
52,Pavement at front door
52,Lighting at stop
52,Shelter
52,Sidewalk at stop
52,Garbage Can
52,Traffic signal
53,Pavement at back door
53,Schedule display
53,Bench near stop
53,Bench near stop
53,Crosswalk near stop
53,Curb ramp near stop
53,Pavement at front door
53,Lighting at stop
53,Shelter
53,Sidewalk at stop
53,Garbage Can
53,Traffic signal
54,Pavement at back door
54,Schedule display
54,Bench near stop
54,Crosswalk near stop
54,Curb ramp near stop
54,Pavement at front door
54,Lighting at stop
54,Sidewalk at stop
54,Garbage Can
55,Pavement at back door
55,Schedule display
55,Bike rack at stop
55,Bench near stop
55,Crosswalk near stop
55,Curb ramp near stop
55,Pavement at front door
55,Lighting at stop
55,Shelter
55,Sidewalk at stop
55,Garbage Can
60,Pavement at back door
60,Schedule display
60,Bench near stop
60,Crosswalk near stop
60,Curb ramp near stop
60,Pavement at front door
60,Lighting at stop
60,Sidewalk at stop
60,Garbage Can
61,Pavement at back door
61,Schedule display
61,Bike rack at stop
61,Bench near stop
61,Bench near stop
61,Crosswalk near stop
61,Curb ramp near stop
61,Pavement at front door
61,Lighting at stop
61,Sidewalk at stop
61,Garbage Can
63,Pavement at back door
63,Schedule display
63,Bench near stop
63,Crosswalk near stop
63,Curb ramp near stop
63,Pavement at front door
63,Lighting at stop
63,Shelter
63,Sidewalk at stop
64,TransitTracker sign
64,Pavement at back door
64,Schedule display
64,Schedule display
64,Bench near stop
64,Crosswalk near stop
64,Curb ramp near stop
64,Pavement at front door
64,Lighting at stop
64,Shelter
64,Sidewalk at stop
64,Garbage Can
67,Schedule display
68,Schedule display
69,Pavement at back door
69,Schedule display
69,Bench near stop
69,Curb ramp near stop
69,Pavement at front door
69,Lighting at stop
69,Shelter
69,Sidewalk at stop
70,Pavement at back door
70,Schedule display
70,Curb ramp near stop
70,Pavement at front door
70,Lighting at stop
70,Shelter
70,Sidewalk at stop
71,Pavement at back door
71,Schedule display
71,Bench near stop
71,Crosswalk near stop
71,Curb ramp near stop
71,Pavement at front door
71,Lighting at stop
71,Sidewalk at stop
72,Schedule display
72,Crosswalk near stop
72,Curb ramp near stop
72,Pavement at front door
72,Lighting at stop
72,Sidewalk at stop
72,Telephone near stop
72,Traffic signal
73,Pavement at back door
73,Schedule display
73,Schedule display
73,Bench near stop
73,Crosswalk near stop
73,Curb ramp near stop
73,Pavement at front door
73,Lighting at stop
73,Shelter
73,Sidewalk at stop
73,Garbage Can
73,Telephone near stop
73,Traffic signal
74,Pavement at back door
74,Schedule display
74,Schedule display
74,Bench near stop
74,Crosswalk near stop
74,Curb ramp near stop
74,Pavement at front door
74,Lighting at stop
74,Shelter
74,Sidewalk at stop
74,Garbage Can
74,Telephone near stop
74,Traffic signal
76,Pavement at back door
76,Schedule display
76,Bench near stop
76,Curb ramp near stop
76,Pavement at front door
76,Lighting at stop
76,Lighting at stop
76,Shelter
76,Sidewalk at stop
77,Pavement at back door
77,Schedule display
77,Bench near stop
77,Curb ramp near stop
77,Pavement at front door
77,Lighting at stop
77,Lighting at stop
77,Shelter
77,Sidewalk at stop
78,Schedule display
78,Crosswalk near stop
78,Curb ramp near stop
78,Pavement at front door
78,Lighting at stop
78,Sidewalk at stop
79,Pavement at back door
79,Schedule display
79,Bench near stop
79,Crosswalk near stop
79,Curb ramp near stop
79,Pavement at front door
79,Lighting at stop
79,Sidewalk at stop
80,Pavement at back door
80,Schedule display
80,Curb ramp near stop
80,Pavement at front door
80,Lighting at stop
80,Sidewalk at stop
81,Schedule display
81,Curb ramp near stop
81,Pavement at front door
81,Lighting at stop
81,Sidewalk at stop
82,Schedule display
82,Curb ramp near stop
82,Pavement at front door
82,Lighting at stop
82,Sidewalk at stop
83,Schedule display
83,Curb ramp near stop
83,Pavement at front door
83,Lighting at stop
83,Sidewalk at stop
88,TransitTracker sign
88,Pavement at back door
88,Schedule display
88,Bench near stop
88,Crosswalk near stop
88,Curb ramp near stop
88,Pavement at front door
88,Lighting at stop
88,Lighting at stop
88,Shelter
88,Sidewalk at stop
88,Garbage Can
88,Traffic signal
89,Pavement at back door
89,Schedule display
89,Crosswalk near stop
89,Curb ramp near stop
89,Pavement at front door
89,Lighting at stop
89,Lighting at stop
89,Shelter
89,Sidewalk at stop
89,Garbage Can
89,Telephone near stop
89,Traffic signal
90,Pavement at back door
90,Schedule display
90,Crosswalk near stop
90,Curb ramp near stop
90,Pavement at front door
90,Lighting at stop
90,Sidewalk at stop
90,Telephone near stop
90,Traffic signal
91,Pavement at back door
91,Schedule display
91,Bench near stop
91,Crosswalk near stop
91,Pavement at front door
91,Lighting at stop
91,Sidewalk at stop
91,Telephone near stop
91,Traffic signal
92,Pavement at back door
92,Schedule display
92,Crosswalk near stop
92,Curb ramp near stop
92,Pavement at front door
92,Lighting at stop
92,Protection from the weather
92,Sidewalk at stop
92,Telephone near stop
92,Traffic signal
93,Schedule display
93,Crosswalk near stop
93,Curb ramp near stop
93,Pavement at front door
93,Lighting at stop
93,Sidewalk at stop
93,Traffic signal
99,Schedule display
99,Curb ramp near stop
99,Lighting at stop
99,Sidewalk at stop
100,Schedule display
100,Crosswalk near stop
100,Curb ramp near stop
100,Sidewalk at stop
100,Traffic signal
101,Schedule display
101,Crosswalk near stop
101,Curb ramp near stop
101,Sidewalk at stop
101,Traffic signal
102,Pavement at back door
102,Schedule display
102,Crosswalk near stop
102,Curb ramp near stop
102,Pavement at front door
102,Sidewalk at stop
102,Telephone near stop
102,Traffic signal
103,Pavement at back door
103,Schedule display
103,Crosswalk near stop
103,Curb ramp near stop
103,Pavement at front door
103,Sidewalk at stop
103,Telephone near stop
103,Traffic signal
104,Pavement at back door
104,Schedule display
104,Crosswalk near stop
104,Curb ramp near stop
104,Pavement at front door
104,Lighting at stop
104,Sidewalk at stop
104,Traffic signal
105,Pavement at back door
105,Crosswalk near stop
105,Curb ramp near stop
105,Pavement at front door
105,Sidewalk at stop
105,Traffic signal
106,Pavement at back door
106,Schedule display
106,Bench near stop
106,Crosswalk near stop
106,Curb ramp near stop
106,Pavement at front door
106,Sidewalk at stop
106,Garbage Can
108,Pavement at back door
108,Schedule display
108,Curb ramp near stop
108,Pavement at front door
108,Sidewalk at stop
111,Pavement at back door
111,Crosswalk near stop
111,Curb ramp near stop
111,Pavement at front door
111,Lighting at stop
111,Sidewalk at stop
111,Traffic signal
112,Pavement at back door
112,Crosswalk near stop
112,Pavement at front door
112,Lighting at stop
112,Sidewalk at stop
112,Traffic signal
113,Pavement at back door
113,Schedule display
113,Bench near stop
113,Pavement at front door
113,Sidewalk at stop
114,Pavement at back door
114,Schedule display
114,Curb ramp near stop
114,Pavement at front door
114,Lighting at stop
114,Sidewalk at stop
115,TransitTracker sign
115,Pavement at back door
115,Schedule display
115,Schedule display
115,Bench near stop
115,Bench near stop
115,Bench near stop
115,Crosswalk near stop
115,Curb ramp near stop
115,Pavement at front door
115,Lighting at stop
115,Lighting at stop
115,Shelter
115,Sidewalk at stop
115,Garbage Can
115,Garbage Can
115,Garbage Can
115,Traffic signal
118,Pavement at back door
118,Schedule display
118,Pavement at front door
118,Lighting at stop
118,Sidewalk at stop
121,Pavement at back door
121,Schedule display
121,Bench near stop
121,Curb ramp near stop
121,Pavement at front door
121,Lighting at stop
121,Sidewalk at stop
122,Schedule display
122,Curb ramp near stop
122,Sidewalk at stop
123,Schedule display
123,Bench near stop
123,Curb ramp near stop
123,Lighting at stop
123,Sidewalk at stop
124,Schedule display
124,Lighting at stop
124,Sidewalk at stop
125,Schedule display
125,Curb ramp near stop
125,Sidewalk at stop
126,Schedule display
126,Sidewalk at stop
131,Schedule display
131,Lighting at stop
131,Sidewalk at stop
132,Schedule display
132,Lighting at stop
132,Sidewalk at stop
133,Schedule display
133,Lighting at stop
133,Sidewalk at stop
134,Schedule display
134,Lighting at stop
134,Sidewalk at stop
135,Pavement at back door
135,Schedule display
135,Pavement at front door
135,Sidewalk at stop
136,Schedule display
136,Bench near stop
136,Curb ramp near stop
136,Lighting at stop
136,Sidewalk at stop
136,Garbage Can
137,Schedule display
137,Curb ramp near stop
137,Sidewalk at stop
137,Garbage Can
140,Pavement at back door
140,Schedule display
140,Bench near stop
140,Pavement at front door
140,Sidewalk at stop
141,Pavement at back door
141,Schedule display
141,Pavement at front door
141,Sidewalk at stop
142,Pavement at back door
142,Schedule display
142,Bench near stop
142,Crosswalk near stop
142,Curb ramp near stop
142,Pavement at front door
142,Shelter
142,Sidewalk at stop
142,Traffic signal
143,Pavement at back door
143,Schedule display
143,Schedule display
143,Bench near stop
143,Crosswalk near stop
143,Curb ramp near stop
143,Pavement at front door
143,Lighting at stop
143,Shelter
143,Sidewalk at stop
143,Traffic signal
146,Pavement at back door
146,Schedule display
146,Bike rack at stop
146,Bench near stop
146,Crosswalk near stop
146,Curb ramp near stop
146,Pavement at front door
146,Lighting at stop
146,Shelter
146,Sidewalk at stop
146,Garbage Can
147,Schedule display
147,Crosswalk near stop
147,Curb ramp near stop
147,Lighting at stop
147,Sidewalk at stop
150,Pavement at back door
150,Schedule display
150,Bench near stop
150,Curb ramp near stop
150,Pavement at front door
150,Lighting at stop
150,Sidewalk at stop
150,Garbage Can
152,Pavement at back door
152,Schedule display
152,Pavement at front door
152,Lighting at stop
152,Sidewalk at stop
153,Schedule display
153,Lighting at stop
154,Pavement at back door
154,Schedule display
154,Pavement at front door
154,Lighting at stop
154,Sidewalk at stop
155,Pavement at back door
155,Schedule display
155,Bench near stop
155,Crosswalk near stop
155,Curb ramp near stop
155,Pavement at front door
155,Lighting at stop
155,Lighting at stop
155,Shelter
155,Sidewalk at stop
155,Garbage Can
156,Pavement at back door
156,Schedule display
156,Crosswalk near stop
156,Curb ramp near stop
156,Pavement at front door
156,Lighting at stop
156,Sidewalk at stop
159,Pavement at back door
159,Schedule display
159,Bench near stop
159,Curb ramp near stop
159,Pavement at front door
159,Lighting at stop
159,Shelter
159,Sidewalk at stop
159,Telephone near stop
160,Pavement at back door
160,Schedule display
160,Pavement at front door
160,Lighting at stop
162,Pavement at back door
162,Schedule display
162,Bench near stop
162,Curb ramp near stop
162,Pavement at front door
162,Lighting at stop
162,Sidewalk at stop
162,Telephone near stop
163,Pavement at back door
163,Schedule display
163,Pavement at front door
163,Lighting at stop
163,Sidewalk at stop
163,Bus request signal
164,Pavement at back door
164,Schedule display
164,Curb ramp near stop
164,Pavement at front door
164,Lighting at stop
164,Sidewalk at stop
165,Pavement at back door
165,Schedule display
165,Bench near stop
165,Curb ramp near stop
165,Pavement at front door
165,Lighting at stop
165,Sidewalk at stop
165,Telephone near stop
168,TransitTracker sign
168,Pavement at back door
168,Schedule display
168,Bench near stop
168,Crosswalk near stop
168,Curb ramp near stop
168,Pavement at front door
168,Lighting at stop
168,Shelter
168,Sidewalk at stop
168,Garbage Can
168,Telephone near stop
168,Traffic signal
170,TransitTracker sign
170,Pavement at back door
170,Schedule display
170,Bench near stop
170,Crosswalk near stop
170,Curb ramp near stop
170,Pavement at front door
170,Lighting at stop
170,Shelter
170,Sidewalk at stop
170,Traffic signal
172,TransitTracker sign
172,Pavement at back door
172,Schedule display
172,Schedule display
172,Bench near stop
172,Crosswalk near stop
172,Curb ramp near stop
172,Pavement at front door
172,Lighting at stop
172,Shelter
172,Sidewalk at stop
172,Telephone near stop
172,Traffic signal
173,TransitTracker sign
173,Pavement at back door
173,Schedule display
173,Schedule display
173,Bench near stop
173,Crosswalk near stop
173,Curb ramp near stop
173,Pavement at front door
173,Lighting at stop
173,Lighting at stop
173,Shelter
173,Sidewalk at stop
173,Garbage Can
173,Traffic signal
174,Pavement at back door
174,Schedule display
174,Bench near stop
174,Crosswalk near stop
174,Curb ramp near stop
174,Pavement at front door
174,Lighting at stop
174,Shelter
174,Sidewalk at stop
174,Traffic signal
175,Pavement at back door
175,Schedule display
175,Bench near stop
175,Crosswalk near stop
175,Pavement at front door
175,Shelter
175,Sidewalk at stop
175,Traffic signal
176,Pavement at back door
176,Schedule display
176,Crosswalk near stop
176,Curb ramp near stop
176,Pavement at front door
176,Lighting at stop
176,Sidewalk at stop
177,Pavement at back door
177,Schedule display
177,Bench near stop
177,Crosswalk near stop
177,Curb ramp near stop
177,Pavement at front door
177,Lighting at stop
177,Lighting at stop
177,Shelter
177,Sidewalk at stop
178,Pavement at back door
178,Schedule display
178,Bench near stop
178,Crosswalk near stop
178,Curb ramp near stop
178,Pavement at front door
178,Lighting at stop
178,Sidewalk at stop
179,Schedule display
179,Bench near stop
179,Crosswalk near stop
179,Curb ramp near stop
179,Pavement at front door
179,Lighting at stop
179,Lighting at stop
179,Shelter
180,Schedule display
180,Pavement at front door
180,Lighting at stop
180,Sidewalk at stop
181,Pavement at back door
181,Schedule display
181,Curb ramp near stop
181,Pavement at front door
181,Lighting at stop
181,Sidewalk at stop
182,Pavement at back door
182,Schedule display
182,Pavement at front door
182,Lighting at stop
183,Pavement at back door
183,Schedule display
183,Bench near stop
183,Curb ramp near stop
183,Pavement at front door
183,Lighting at stop
183,Sidewalk at stop
184,Pavement at back door
184,Schedule display
184,Curb ramp near stop
184,Pavement at front door
184,Lighting at stop
184,Sidewalk at stop
185,Pavement at back door
185,Schedule display
185,Pavement at front door
185,Lighting at stop
185,Sidewalk at stop
186,Pavement at back door
186,Schedule display
186,Curb ramp near stop
186,Pavement at front door
186,Lighting at stop
186,Sidewalk at stop
187,Pavement at back door
187,Schedule display
187,Curb ramp near stop
187,Pavement at front door
187,Lighting at stop
187,Sidewalk at stop
187,Telephone near stop
191,Pavement at back door
191,Schedule display
191,Bench near stop
191,Bench near stop
191,Crosswalk near stop
191,Curb ramp near stop
191,Pavement at front door
191,Lighting at stop
191,Lighting at stop
191,Shelter
191,Sidewalk at stop
191,Traffic signal
193,TransitTracker sign
193,Pavement at back door
193,Schedule display
193,Bench near stop
193,Crosswalk near stop
193,Curb ramp near stop
193,Pavement at front door
193,Lighting at stop
193,Shelter
193,Sidewalk at stop
193,Traffic signal
194,Pavement at back door
194,Schedule display
194,Bench near stop
194,Curb ramp near stop
194,Pavement at front door
194,Lighting at stop
194,Sidewalk at stop
195,Pavement at back door
195,Schedule display
195,Crosswalk near stop
195,Curb ramp near stop
195,Pavement at front door
195,Lighting at stop
195,Sidewalk at stop
196,Pavement at back door
196,Schedule display
196,Pavement at front door
196,Lighting at stop
196,Sidewalk at stop
197,Schedule display
197,Curb ramp near stop
197,Pavement at front door
197,Lighting at stop
197,Sidewalk at stop
198,Pavement at back door
198,Schedule display
198,Curb ramp near stop
198,Pavement at front door
198,Lighting at stop
198,Sidewalk at stop
199,TransitTracker sign
199,Pavement at back door
199,Schedule display
199,Bench near stop
199,Pavement at front door
199,Lighting at stop
199,Shelter
199,Sidewalk at stop
199,Garbage Can
199,Telephone near stop
200,Pavement at back door
200,Schedule display
200,Crosswalk near stop
200,Curb ramp near stop
200,Pavement at front door
200,Lighting at stop
200,Garbage Can
201,Schedule display
201,Lighting at stop
202,Schedule display
202,Schedule display
202,Crosswalk near stop
202,Curb ramp near stop
202,Pavement at front door
202,Lighting at stop
202,Shelter
202,Sidewalk at stop
202,Telephone near stop
202,Traffic signal
203,Pavement at back door
203,Schedule display
203,Bench near stop
203,Crosswalk near stop
203,Curb ramp near stop
203,Pavement at front door
203,Lighting at stop
203,Lighting at stop
203,Shelter
203,Sidewalk at stop
203,Traffic signal
207,Pavement at back door
207,Schedule display
207,Crosswalk near stop
207,Curb ramp near stop
207,Pavement at front door
207,Lighting at stop
207,Sidewalk at stop
207,Traffic signal
208,Pavement at back door
208,Schedule display
208,Bench near stop
208,Pavement at front door
208,Lighting at stop
