service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
107746,1,1,1,1,1,0,0,20230123,20230609
106576,0,1,1,1,1,0,0,20230123,20230609
101955,0,0,0,0,0,0,0,20230123,20230609
101256,0,1,1,0,0,0,0,20230123,20230609
92121,0,1,0,0,0,0,0,20230123,20230609
57236,1,1,1,1,1,0,0,20230320,20230609
50510,1,1,1,1,1,0,0,20230123,20230317
49340,0,1,1,1,1,0,0,20230123,20230317
44719,0,0,0,0,0,0,0,20230123,20230317
44020,0,1,1,0,0,0,0,20230123,20230317
34885,0,1,0,0,0,0,0,20230123,20230317
21606,0,0,0,0,0,0,1,20230129,20230604
20877,0,0,0,0,0,1,0,20230128,20230603
20436,0,0,0,0,0,0,1,20230129,20230604
15625,0,0,1,0,0,0,0,20230125,20230315
12034,0,0,0,0,0,0,1,20230319,20230604
11692,0,0,0,0,0,1,0,20230318,20230603
10355,0,0,0,0,0,1,0,20230128,20230311
9572,0,0,0,0,0,0,1,20230129,20230312
9185,0,0,0,0,0,1,0,20230128,20230311
9135,0,0,1,0,0,0,0,20230125,20230315
8402,0,0,0,0,0,0,1,20230129,20230312
6490,0,0,0,0,0,0,0,20230216,20230310
5791,1,1,1,1,1,0,0,20230220,20230224
