service_id,date,exception_type
4,20221223,1
7,20221223,2
1,20221226,1
6,20221226,2
2,20221227,1
6,20221227,2
2,20221228,1
6,20221228,2
2,20221229,1
6,20221229,2
4,20221230,1
7,20221230,2
1,20230102,1
6,20230102,2
5,20230116,1
6,20230116,2
2,20230125,1
6,20230125,2
5,20230220,1
6,20230220,2
2,20230221,1
6,20230221,2
2,20230222,1
6,20230222,2
2,20230223,1
6,20230223,2
4,20230224,1
7,20230224,2
2,20230309,1
6,20230309,2
4,20230310,1
7,20230310,2
2,20230410,1
6,20230410,2
2,20230417,1
6,20230417,2
2,20230418,1
6,20230418,2
2,20230419,1
6,20230419,2
2,20230420,1
6,20230420,2
4,20230421,1
7,20230421,2
1,20230529,1
6,20230529,2
5,20230619,1
6,20230619,2
3,20230623,1
7,20230623,2
