route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
10A,1,10A,ALEXANDRIA-PENTAGON,,3,,d83e26,000000
10B,1,10B,HUNTING POINT-BALLSTON,,3,,d83e26,000000
16A,1,16A,COLUMBIA PIKE,,3,,d83e26,000000
16C,1,16C,COLUMBIA PIKE,,3,,d83e26,000000
16E,1,16E,COLUMBIA PIKE,,3,,d83e26,000000
16G,1,16G,COLUMBIA PIKE-PENTAGON CITY,,3,,d83e26,000000
16H,1,16H,COLUMBIA PIKE-PENTAGON CITY,,3,,d83e26,000000
16Y,1,16Y,COLUMBIA PK-FARRAGUT SQUARE,,3,,005695,000000
17B,1,17B,KINGS PARK,,3,,727d84,000000
17G,1,17G,KINGS PARK EXPRESS,,3,,727d84,000000
17K,1,17K,KINGS PARK EXPRESS,,3,,727d84,000000
17M,1,17M,KINGS PARK,,3,,727d84,000000
18G,1,18G,ORANGE HUNT,,3,,727d84,000000
18J,1,18J,ORANGE HUNT,,3,,727d84,000000
18P,1,18P,BURKE CENTRE,,3,,727d84,000000
1A,1,1A,WILSON BLVD,,3,,d83e26,000000
1B,1,1B,WILSON BLVD,,3,,d83e26,000000
1C,1,1C,FAIR OAKS-DUNN LORING,,3,,0392c8,000000
21C,1,21C,LANDMARK-HOLMES RUN PARKWAY,,3,,d83e26,000000
22A,1,22A,BARCROFT-SOUTH FAIRLINGTON,,3,,0392c8,000000
22F,1,22F,BARCROFT-SOUTH FAIRLINGTON,,3,,0392c8,000000
23A,1,23A,MCLEAN-CRYSTAL CITY,,3,,d83e26,000000
23B,1,23B,MCLEAN-CRYSTAL CITY,,3,,d83e26,000000
23T,1,23T,MCLEAN-CRYSTAL CITY,,3,,d83e26,000000
25B,1,25B,CARLIN SPRINGS ROAD,,3,,0392c8,000000
26A,1,26A,ANNANDALE-EAST FALLS CHURCH,,3,,0392c8,000000
28A,1,28A,LEESBURG PIKE,,3,,d83e26,000000
28F,1,28F,SKYLINE CITY,,3,,727d84,000000
29G,1,29G,ANNANDALE,,3,,727d84,000000
29K,1,29K,ALEXANDRIA-FAIRFAX,,3,,d83e26,000000
