stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
66,3000064,MADISON DR + MONROE AVE,,38.710323,-76.982112,,
67,3000065,MADISON DR + MONROE AVE,,38.710433,-76.982267,,
68,3000066,MADISON DR + HARRISON AVE,,38.710574,-76.98362,,
69,3000067,MADISON RD + HARRISON AVE,,38.710477,-76.983924,,
72,3000070,MADISON DR + JEFFERSON RD,,38.711043,-76.984843,,
73,3000071,JEFFERSON RD + JACKSON DR,,38.711074,-76.986146,,
74,3000072,JACKSON DR + JEFFERSON RD,,38.711072,-76.986541,,
75,3000073,JEFFERSON RD + MADISON DR,,38.711151,-76.98516,,
76,3000074,MONROE AVE + JEFFERSON RD,,38.711971,-76.981791,,
77,3000075,JACKSON DR + ADAMS DR,,38.712078,-76.986302,,
78,3000076,JEFFERSON RD + CLARION RD,,38.7121,-76.980744,,
79,3000077,JEFFERSON RD + MONROE AVE,,38.712239,-76.981579,,
80,3000078,CLARION RD + JEFFERSON RD,,38.712341,-76.980564,,
81,3000079,JACKSON DR + ADAMS DR,,38.712417,-76.98638,,
82,3000080,CLARION RD + CLARION TERR,,38.712911,-76.980419,,
83,3000081,CLARION RD + CLARION TERR,,38.713151,-76.980484,,
84,3000082,JACKSON DR + WASHINGTON LA,,38.713194,-76.986204,,
85,3000083,CLARION RD + LIVINGSTON RD,,38.71344,-76.980169,,
86,3000084,OLD FORT RD + OLD FORT RD,,38.713721,-76.986286,,
87,3000085,OLD FORT RD + VAN BUREN DR,,38.715552,-76.986095,,
88,3000086,OLD FORT RD + VAN BUREN DR,,38.715554,-76.98599,,
89,3000087,TANTALLON DR + ASBURY DR,,38.716393,-77.000125,,
90,3000088,TANTALLON DR + BUCKMASTER LA,,38.716456,-76.997032,,
91,3000089,TANTALLON DR + ASBURY DR,,38.716332,-77.000609,,
92,3000090,E TANTALLON DR + BUCKMASTER LN,,38.716355,-76.9968,,
93,3000091,FORT WASHINGTON RD + TANTALLON DR,,38.718235,-77.005387,,
94,3000092,FORT WASHINGTON RD + TANTALLON DR,,38.718273,-77.005608,,
95,3000093,OLD FORT RD + LIVINGSTON RD,,38.718448,-76.984111,,
96,3000094,OLD FORT RD + LIVINGSTON RD,,38.718499,-76.984239,,
97,3000095,GABLE LN + E TANTALLON DR,,38.71876,-76.994045,,
98,3000096,GABLE LN + E TANTALLON DR,,38.718776,-76.993883,,
99,3000097,OLD FORT RD + OLD PISCATAWAY RD,,38.719807,-76.983641,,
100,3000098,OLD FORT RD + OLD PISCATAWAY RD,,38.719792,-76.983745,,
101,3000099,OLD FORT RD + #12309,,38.720744,-76.983334,,
102,3000100,OLD FORT RD + #12309,,38.720878,-76.983412,,
103,3000101,FORT WASHINGTON RD + REXBURG AVE,,38.722383,-77.004229,,
104,3000102,FORT WASHINGTON RD + REXBURG AVE,,38.72258,-77.00447,,
105,3000103,OLD FORT RD + JOMAR DR,,38.7242,-76.982054,,
106,3000104,OLD FORT RD + JOMAR DR,,38.723766,-76.982013,,
107,3000105,FORT WASHINGTON RD + SWAN CREEK RD E,,38.724572,-77.004717,,
108,3000106,FORT WASHINGTON RD + SWAN CREEK RD,,38.724616,-77.004939,,
110,3000107,OLD FORT RD + #11818,,38.726918,-76.980145,,
111,3000108,OLD FORT RD + #11811,,38.727217,-76.98002,,
114,3000109,FORT WASHINGTON RD + LOURDES DR,,38.729163,-77.004724,,
115,3000110,FORT WASHINGTON RD + AUTUMNWOOD LN,,38.729614,-77.004855,,
118,3000113,OLD FORT RD + GALLAHAN RD,,38.731247,-76.976009,,
119,3000114,OLD FORT RD + GALLAHAN RD,,38.731677,-76.976075,,
121,3000116,FORT WASHINGTON RD + BEECH ST,,38.733601,-77.004335,,
124,3000117,OLD FORT RD + ARAGONA BLVD,,38.734874,-76.97593,,
125,3000118,OLD FORT RD + VALLEY VIEW DR,,38.735544,-76.975676,,
126,3000119,FORT WASHINGTON RD + KIMBERLY WOODS LA,,38.735927,-77.003368,,
127,3000120,FORT WASHINGTON RD + KIMBERLY WOODS LN,,38.736362,-77.00346,,
128,3000121,OLD FORT RD + THOMAS RD,,38.73686,-76.975433,,
129,3000122,OLD FORT RD + THOMAS RD,,38.737068,-76.975161,,
130,3000123,FORT WASHINGTON RD + #11310,,38.740018,-77.00097,,
131,3000124,OLD FORT RD + THORNTON DR,,38.739997,-76.973826,,
132,3000125,OLD FORT RD + POWDER HORN DR,,38.740168,-76.973596,,
133,3000126,FORT WASHINGTON RD + #11310,,38.740252,-77.00097,,
134,3000127,LIVINGSTON RD + FORT WASHINGTON RD,,38.742782,-76.999028,,
135,3000128,LIVINGSTON RD + FORT WASHINGTON RD,,38.742842,-76.999215,,
136,3000129,OLD FORT RD + FRONTIER CT,,38.744151,-76.972837,,
137,3000130,OLD FORT RD + FRONTIER CT,,38.744647,-76.972955,,
140,3000131,OLD FORT RD + OLD FORT PL,,38.746778,-76.972924,,
141,3000132,OLD FORT RD + OLD FORT PL,,38.747017,-76.973063,,
143,3000133,OLD FORT RD + GRIFF DR,,38.749264,-76.976224,,
145,3000134,OLD FORT RD + THORNE DR,,38.74923,-76.976332,,
151,3000137,ALLENTOWN RD + ALLEN GAYLE DR,,38.751882,-76.970331,,
152,3000138,ALLENTOWN RD + OLD FORT RD,,38.752049,-76.977999,,
153,3000139,ALLENTOWN RD + OLD FORT RD,,38.752152,-76.97811,,
155,5000008,HUNTSMAN BLVD + FAIRFAX COUNTY PKWY,,38.752351,-77.266312,,
156,5000009,HUNTSMAN BLVD + FAIRFAX COUNTY PKWY,,38.752219,-77.266681,,
157,3000141,ALLENTOWN RD + GRIFF DR,,38.752312,-76.974236,,
158,3000142,ALLENTOWN RD + GRIFF DR,,38.752531,-76.974378,,
164,5000013,HUNTSMAN BLVD + DOROTHY LA,,38.754305,-77.265002,,
165,5000014,HUNTSMAN BLVD + DOROTHY LA,,38.754455,-77.265158,,
170,3000147,ALLENTOWN RD + OLD ALLENTOWN RD (S),,38.754817,-76.967739,,
183,5000027,HUNTSMAN BLVD + GOLDEN BALL TAVERN CT,,38.757827,-77.26287,,
184,5000028,HUNTSMAN BLVD + GOLDEN BALL TAVERN CT,,38.757856,-77.263107,,
186,3000150,OXON HILL RD + LIVINGSTON RD,,38.757911,-76.997439,,
187,3000151,OXON HILL RD + LIVINGSTON RD,,38.758014,-76.997391,,
194,3000152,FORT FOOTE RD + WEDGEWOOD DR,,38.758498,-77.018645,,
196,3000153,FORT FOOTE RD + LOUGHRAN RD,,38.758775,-77.019896,,
198,3000154,FORT FOOTE RD + SANDY BAR DR,,38.75888,-77.023378,,
200,3000155,FORT FOOTE RD + IVANHOE RD,,38.759025,-77.023485,,
201,3000156,ALLENTOWN RD + ROSE VALLEY DR,,38.759046,-76.963569,,
202,3000157,ALLENTOWN RD + ROSE VALLEY DR,,38.759156,-76.963689,,
204,3000158,FORT FOOTE RD + INDIAN QUEEN ES,,38.759183,-77.016131,,
208,5000043,HUNTSMAN BLVD + ROCKEFELLER LA,,38.759537,-77.262212,,
210,3000159,FORT FOOTE RD + ROUND TABLE DR,,38.759667,-77.015307,,
213,3000160,ALLENTOWN RD + DORIS DR,,38.760448,-76.961464,,
215,3000161,ALLENTOWN RD + DORIS DR,,38.760643,-76.961394,,
216,3000162,FORT FOOTE RD + LARK LA,,38.760758,-77.024229,,
217,3000163,FORT FOOTE RD + TRAVERSE WAY,,38.760711,-77.010596,,
219,3000164,FORT FOOTE RD S + STONY HILL DR,,38.760964,-77.005613,,
220,3000165,FORT FOOTE RD + MESSINA DR,,38.760883,-77.010703,,
222,3000166,FORT FOOTE RD + LARK LA,,38.760856,-77.024406,,
223,3000167,ALLENTOWN RD + CONSTANTINE DR,,38.76094,-76.959339,,
235,3000169,ALLENTOWN RD + CALYDON CT,,38.764111,-76.954289,,
236,3000170,ALLENTOWN RD + CALYDON CT,,38.764268,-76.954063,,
242,3000171,FORT FOOTE RD + FORTSIDE DRIVEWAY,,38.764994,-77.025062,,
244,3000172,FORT FOOTE RD + BLUFFWOOD LN,,38.765298,-77.024887,,
251,3000175,CLINTON PARK AND RIDE LOT + BUS BAY B,,38.766064,-76.885123,,
255,5000069,HUNTSMAN BLVD + SYDENSTRICKER RD,,38.766639,-77.253578,,
267,5000075,HUNTSMAN BLVD + SIDE SADDLE RD,,38.767879,-77.253,,
270,5000078,HUNTSMAN BLVD + SIDE SADDLE RD,,38.768103,-77.253057,,
271,3000184,ALLENTOWN RD + STONESBORO DR,,38.768272,-76.952788,,
277,3000186,ALLENTOWN RD + ALDERTON AVE,,38.768921,-76.95276,,
284,5000088,HUNTSMAN BLVD + HOUNDMASTER RD,,38.769655,-77.250144,,
286,5000090,HUNTSMAN BLVD + HOUNDMASTER RD,,38.770067,-77.249976,,
288,3000188,FORT FOOTE RD + BLUFFWOOD LN,,38.77024,-77.021095,,
289,3000189,FORT FOOTE RD + BLUFFWOOD LA,,38.770342,-77.021212,,
305,3000192,FORT FOOTE RD + E FORT FOOTE TERR,,38.771311,-77.017762,,
311,3000195,FORT FOOTE RD N + LOUGHRAN RD,,38.771757,-77.016409,,
312,5000108,HUNTSMAN BLVD + BRIDLE WOOD DR,,38.771894,-77.248917,,
313,3000196,ALLENTOWN RD + MARSTON DR,,38.772147,-76.95141,,
314,3000197,ALLENTOWN RD + DALEWOOD RD,,38.772124,-76.951606,,
315,3000198,FORT FOOTE RD + POTOMAC VALLEY DR,,38.772284,-77.01607,,
321,5000112,HUNTSMAN BLVD + BRIDLE WOOD DR,,38.772626,-77.248631,,
327,5000116,OLD KEENE MILL RD + FIELDMASTER DR,,38.77296,-77.255317,,
330,5000117,OLD KEENE MILL RD + FIELD MASTER DR,,38.773213,-77.255319,,
332,5000119,OLD KEENE MILL RD + KEENE DR,,38.773407,-77.259267,,
335,5000122,OLD KEENE MILL RD + KEENE DR,,38.77368,-77.259231,,
