stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
28174,BT1,CHEVERLY STA,,38.915901,-76.916031,,
28175,BT10,11TH & K NW,,38.902813,-77.027046,,
28176,BT1000,WISCONSIN & CATHEDRAL,,38.929039,-77.073051,,
28177,BT1001,WISCONSIN & ALBEMARLE,,38.947681,-77.079422,,
28178,BT1004,HILLCREST,,38.857262,-76.962524,,
28179,BT1006,BARTON ST & PERSHING DR,,38.881031,-77.087341,,
28180,BT1007,PERSHING & GLEBE-BUCKNGHAM,,38.873585,-77.105629,,
28181,BT1008,PARK DR & 1ST ST,,38.867371,-77.115913,,
28182,BT101,SOUTH CAPITOL & ATLANTIC,,38.831444,-77.007721,,
28183,BT1012,ALABAMA & NAYLOR,,38.858871,-76.968201,,
28184,BT1013,DIVISION & BURROUGHS,,38.89809,-76.925774,,
28185,BT1016,UNIVERSITY BLVD & RIGGS RD,,38.983891,-76.979301,,
28186,BT1017,JEFFERSON & 40TH,,38.954781,-76.949898,,
28187,BT1018,PHILADELPHIA & CHESNUT,,38.982868,-77.014763,,
28188,BT1019,EAST-WEST&N HAMP(TAC PK),,38.975323,-76.993317,,
28189,BT102,LIVNGSTN (SO AV-S CAP),,38.821739,-77.000656,,
28190,BT1022,NAVY YARD STA (NJ & M SE),,38.876484,-77.004181,,
28191,BT1024,14TH & U NW,,38.917381,-77.03196,,
28192,BT1025,14TH & BUCHANAN STS NW,,38.946049,-77.032692,,
28193,BT1026,14TH & ASPEN,,38.971886,-77.033386,,
28194,BT1027,INDEPENDENCE & 12TH,,38.887524,-77.030098,,
28195,BT1028,BRANCH AVE-RANDLE CIR,,38.877312,-76.961403,,
28196,BT1031,GEORGIA & FLORIDA AVES,,38.916069,-77.021851,,
28197,BT1033,GEORGIA & BLAIR RD,,38.982918,-77.026527,,
28198,BT1035,BELLE HAVEN DR @ #1825,,38.915478,-76.884201,,
28199,BT1036,FRANKLIN SQ (I & 13TH NW),,38.901333,-77.030731,,
28200,BT1038,GLEBE RD & JEFFERSON DAVIS HWY,,38.842701,-77.051636,,
28201,BT1039,POINTER RIDGE,,38.902344,-76.733925,,
28202,BT1040,ALLENTOWN WAY@ OLD BRANCH AVE,,38.800816,-76.906006,,
28203,BT1041,FORESTVILLE  RD  @  RENA,,38.828548,-76.878647,,
28205,BT1046,ANNAPOLIS RD @ 65TH AVE,,38.939228,-76.907448,,
28206,BT1047,MLK & Belle Haven / Columbia,,38.916412,-76.882866,,
28207,BT1049,7TH & PENNSYLVANIA NW,,38.893295,-77.021919,,
28208,BT105,7TH & E ST. SW,,38.883621,-77.02182,,
28209,BT1051,CARLING SPRINGS RD&COLUMBIA PK,,38.85323,-77.1222,,
28210,BT1053,ST BARNABAS & VIRGINIA LANE,,38.811096,-76.967766,,
28211,BT1054,FOUR MILE RUN DR & COLUMBIA PK,,38.85664,-77.108749,,
28212,BT1055,HIGH POINT HIGH SCHOOL,,39.043339,-76.943954,,
28213,BT1056,GEORGIA AVE & EUCLID ST NW,,38.924183,-77.022522,,
28214,BT1058,CLARENDON BLVD & UHLE ST,,38.89098,-77.085663,,
28215,BT106,MINNESOTA AVE STA,,38.897972,-76.947266,,
