route_type,route_id,route_short_name,route_long_name,agency_id,route_desc,route_url,route_color,route_text_color
3,164,164,Ruta 164,NI-IRTRAMMA,,https://osm.org/relation/6456820,6d2fba,ffffff
3,SIS,SIS,San Isidro,NI-IRTRAMMA,,https://osm.org/relation/5910109,6d2fba,ffffff
3,154,154,Ruta 154,NI-IRTRAMMA,,https://osm.org/relation/6456817,00adee,ffffff
3,210,210,Ruta 210,NI-IRTRAMMA,,https://osm.org/relation/3665527,00adee,ffffff
3,159,159,Ruta 159,NI-IRTRAMMA,,https://osm.org/relation/3665524,ff5555,ffffff
3,158,158,Ruta 158,NI-IRTRAMMA,,https://osm.org/relation/6456818,00adee,ffffff
3,115,115,Ruta 115,NI-IRTRAMMA,,https://osm.org/relation/6456812,00adee,ffffff
3,114,114,Ruta 114,NI-IRTRAMMA,,https://osm.org/relation/3665518,45b549,ffffff
3,117,117,Ruta 117,NI-IRTRAMMA,,https://osm.org/relation/6456813,45b549,ffffff
3,116,116,Ruta 116,NI-IRTRAMMA,,https://osm.org/relation/3665519,a8611a,ffffff
3,111,111,Ruta 111,NI-IRTRAMMA,,https://osm.org/relation/3665516,45b549,ffffff
3,110,110,Ruta 110,NI-IRTRAMMA,,https://osm.org/relation/3665515,45b549,ffffff
3,113,113,Ruta 113,NI-IRTRAMMA,,https://osm.org/relation/6456811,00adee,ffffff
3,112,112,Ruta 112,NI-IRTRAMMA,,https://osm.org/relation/3665517,f7921f,ffffff
3,175,175,Ruta 175,NI-IRTRAMMA,,https://osm.org/relation/6456825,a8611a,ffffff
3,119,119,Ruta 119,NI-IRTRAMMA,,https://osm.org/relation/3665521,45b549,ffffff
3,118,118,Ruta 118,NI-IRTRAMMA,,https://osm.org/relation/3665520,a8611a,ffffff
3,165,165,Ruta 165,NI-IRTRAMMA,,https://osm.org/relation/6456821,6d2fba,ffffff
3,170,170,Ruta 170,NI-IRTRAMMA,,https://osm.org/relation/3665526,f7921f,ffffff
3,167,167,Ruta 167,NI-IRTRAMMA,,https://osm.org/relation/6456822,ff5555,ffffff
3,ESQ,ESQ,Esquipulas,NI-IRTRAMMA,,https://osm.org/relation/6456809,6d2fba,ffffff
3,169,169,Ruta 169,NI-IRTRAMMA,,https://osm.org/relation/6456823,ff5555,ffffff
3,MR4,MR4,Miniruta 4 (261),NI-IRTRAMMA,,https://osm.org/relation/3665505,a8611a,ffffff
3,172,172,Ruta 172,NI-IRTRAMMA,,https://osm.org/relation/6456824,00adee,ffffff
3,195,195,Ruta 195,NI-IRTRAMMA,,https://osm.org/relation/6456826,45b549,ffffff
3,6,6,Ruta 6,NI-IRTRAMMA,,https://osm.org/relation/3665530,f7921f,ffffff
3,163,163,Ruta 163,NI-IRTRAMMA,,https://osm.org/relation/6456819,ff5555,ffffff
3,VAN,VAN,Los Vanegas,NI-IRTRAMMA,,https://osm.org/relation/3665504,6d2fba,ffffff
3,172CS,172CS,Ruta 172 (Ciudad Sandino),NI-IRTRAMMA,,https://osm.org/relation/11228558,ff7f50,ffffff
3,120,120,Ruta 120,NI-IRTRAMMA,,https://osm.org/relation/3665522,45b549,ffffff
3,262,262,Ruta 262,NI-IRTRAMMA,,https://osm.org/relation/3665528,6d2fba,ffffff
3,108,108,Ruta 108,NI-IRTRAMMA,,https://osm.org/relation/3665513,ff5555,ffffff
3,123,123,Ruta 123,NI-IRTRAMMA,,https://osm.org/relation/6456814,f7921f,ffffff
3,168,168,Ruta 168,NI-IRTRAMMA,,https://osm.org/relation/3665525,45b549,ffffff
3,125,125,Ruta 125,NI-IRTRAMMA,,https://osm.org/relation/6456816,00adee,ffffff
3,102,102,Ruta 102,NI-IRTRAMMA,,https://osm.org/relation/3665507,45b549,ffffff
3,103,103,Ruta 103,NI-IRTRAMMA,,https://osm.org/relation/3665508,45b549,ffffff
3,101,101,Ruta 101,NI-IRTRAMMA,,https://osm.org/relation/3665506,f7921f,ffffff
3,106,106,Ruta 106,NI-IRTRAMMA,,https://osm.org/relation/6456810,6d2fba,ffffff
3,107,107,Ruta 107,NI-IRTRAMMA,,https://osm.org/relation/3665512,00adee,ffffff
3,104,104,Ruta 104,NI-IRTRAMMA,,https://osm.org/relation/3665509,ff5555,ffffff
3,105,105,Ruta 105,NI-IRTRAMMA,,https://osm.org/relation/3665510,45b549,ffffff
3,133,133,Ruta 133,NI-IRTRAMMA,,https://osm.org/relation/3665523,ff7f50,ffffff
3,266,266,Ruta 266,NI-IRTRAMMA,,https://osm.org/relation/3665529,ff5555,ffffff
3,109,109,Ruta 109,NI-IRTRAMMA,,https://osm.org/relation/3665514,f7921f,ffffff
3,125CS,125CS,Ruta 125 (Ciudad Sandino),NI-IRTRAMMA,,https://osm.org/relation/6456815,ff7f50,ffffff
