stop_lat,stop_lon,stop_id,parent_station,stop_name,location_type
12.1506227,-86.2839456,node/7848132699,,Cuerpo de Bomberos,0
12.1525420667,-86.2461224,relation/6473418,,Súper de los Militares,1
12.1455021,-86.2534489667,relation/6473417,,Semáforos de Ciudad Jardín,1
12.118321,-86.29376595,relation/6473415,,Super Boutique,1
12.13108195,-86.23314105,relation/6473413,,Sucursal Rubenia - DISSUR,1
12.1509840002,-86.2235601997,relation/6473411,,Sucursal Norte - DISSUR,1
12.1481172,-86.2937739,node/7555590743,,Ederli,0
12.1618616,-86.2936746,node/7555590747,,El Consultorio,0
12.1521317,-86.297303,node/7555590745,,Monseñor Lezcano,0
12.167578,-86.3587026,node/3230468220,relation/6473592,Vuelta de la Uno,0
12.1627215,-86.2935968,node/7555590749,,Acahualinca,0
12.1462149,-86.277966,node/3230468223,,Cabrera,0
12.1390167,-86.3000836,node/3230468224,relation/6472806,INVUR,0
12.1663542,-86.3546967,node/3230468226,relation/6472835,Iglesia San Francisco,0
12.1460009,-86.2894121,node/3230468227,relation/6472915,Las Palmas,0
12.0954191,-86.247942,node/3951162773,,Las Terrazas,0
12.0904083,-86.24512,node/3951162772,relation/6472913,Las Calderas,0
12.0843697,-86.2394618,node/3951162771,relation/6472885,La Estancia,0
12.1507816501,-86.2722385499,relation/6473099,,Parque Luis Alfonso Velásquez,1
12.0741904,-86.1985247,node/3951162777,relation/6473584,Vistas de Esquipulas,0
12.0972767,-86.2482483,node/3951162776,relation/6473566,Viejo Santo Domingo,0
12.0820229,-86.2302648,node/3951162775,relation/6473539,UNICA Sur,0
12.0940225,-86.246473,node/3951162774,relation/6473035,Notre Dame,0
12.1231619,-86.2969503,relation/6473093,,Parque Independencia,1
12.1115330502,-86.2293425001,relation/6473090,,Parque Germán Pomares Ordóñez,1
12.1343354,-86.2994715,relation/6473091,,Parque Héroes y Mártires,1
12.1517848,-86.300006,relation/6473096,,Parque José de San Martín,1
12.1296253,-86.2530366,node/3277763392,relation/6472493,Colonia Máximo Jerez,0
12.06964875,-86.20583455,relation/6473070,,El Chato,1
12.0691544,-86.2034296,relation/6473073,,Los Rocha,1
12.132378,-86.24464505,relation/6473075,,Parque 10 de Junio,1
12.14852605,-86.27601655,relation/6473076,,INSS,1
12.1600641,-86.29382745,relation/6473078,,Parque Acahualinca,1
12.14546305,-86.23197485,relation/6473079,,Parque Amistad,1
12.1568746,-86.19886905,relation/6472279,,Terminal Barrio Camilo Chamorro,1
12.1525234,-86.2428547,node/7727710179,,SINSA Carretera Norte,0
12.1506531,-86.27024,node/7727710177,,Entrada Olof Palme,0
12.1289233668,-86.2199419665,relation/6472277,,Barrio Américas 1,1
12.1333928,-86.253992,node/7727710173,,Barrio El Riguero Sur,0
12.1091169,-86.2166071,relation/6472273,,Barber Shop,1
12.10934445,-86.2249434,relation/6472477,,Colegio Salomón Ibarra,1
12.1514985,-86.238773,node/3699001102,,La Vuelta,0
12.1066673003,-86.2971808502,relation/6472474,,Colegio Rodolfo Rodríguez Alvarado,1
12.1143114,-86.2936012,relation/6472472,,Colegio Roberto Vargas Bretes,1
12.1081289,-86.264878,node/2865607775,relation/6472449,Colegio La Anunciación,0
12.1124555,-86.2647511,node/2865607772,relation/6472422,Claro Villa Fontana,0
12.1255305,-86.20366525,relation/6472478,,Colegio San Ignacio de Loyola,1
12.0747262,-86.2200199,node/2712755431,,Entrada a Esquipulas,0
12.1424631,-86.2421147,node/3696143873,,Colegio Reverendo Boanerges Aragón,0
12.1578077,-86.3137174,node/3705029108,,San Miguel Arcángel,0
12.119937,-86.2319062,node/3705029107,relation/6473443,Tanque,0
12.1524421,-86.2460419,node/3705029106,relation/6473418,Súper de los Militares,0
12.1554934,-86.3147253,node/3705029105,,Rótulo Joyería Garzón,0
12.1521471,-86.2427114,node/3705029104,,Calbri Internacional,0
12.157764,-86.2956546,node/2530293541,relation/6472537,Cuadro Gadala María,0
12.1514066,-86.2369377,node/3705029102,relation/6472555,Distribuidora La Universal,0
12.1482085,-86.2372477,node/3705029101,relation/6472499,Colonial Norte,0
12.1578692,-86.2948197,node/2530293542,relation/6472537,Cuadro Gadala María,0
12.14903215,-86.28157895,relation/6472578,,El Boer,1
12.0815444506,-86.2366203498,relation/6472619,,El Poste Blanco,1
12.0819193516,-86.2336307014,relation/6472618,,El Parque,1
