route_id,trip_id,trip_headsign,service_id,shape_id,block_id,wheelchair_accessible,bikes_allowed,direction_id
6,20057,Parque Independencia,Su,relation/2607580,,,,
163,13357,Terminal 163,Su,relation/3293473,,,,
163,13356,Terminal 163,Su,relation/3293473,,,,
266,19719,Vidriera,Sa,relation/2602458,,,,
6,20051,Parque Independencia,Su,relation/2607580,,,,
133,11542,Terminal de Retorno 133,Mo-Fr,relation/5709365,,,,
133,11543,Terminal de Retorno 133,Mo-Fr,relation/5709365,,,,
133,11540,Terminal de Retorno 133,Mo-Fr,relation/5709365,,,,
133,11541,Terminal de Retorno 133,Mo-Fr,relation/5709365,,,,
133,11546,Terminal de Retorno 133,Mo-Fr,relation/5709365,,,,
133,11547,Terminal de Retorno 133,Mo-Fr,relation/5709365,,,,
133,11544,Terminal de Retorno 133,Mo-Fr,relation/5709365,,,,
133,11545,Terminal de Retorno 133,Mo-Fr,relation/5709365,,,,
165,14545,Terminal 165,Su,relation/4482498,,,,
133,11548,Terminal de Retorno 133,Mo-Fr,relation/5709365,,,,
133,11549,Terminal de Retorno 133,Mo-Fr,relation/5709365,,,,
170,16426,Terminal 170,Sa,relation/2602495,,,,
6,19927,Parque Independencia,Mo-Fr,relation/2607580,,,,
112,5988,Parque Independencia,Sa,relation/2879899,,,,
112,5989,Parque Independencia,Sa,relation/2879899,,,,
266,19399,Vidriera,Mo-Fr,relation/2602458,,,,
266,19398,Vidriera,Mo-Fr,relation/2602458,,,,
112,5982,Parque Independencia,Sa,relation/2879899,,,,
112,5983,Parque Independencia,Sa,relation/2879899,,,,
112,5980,Parque Independencia,Sa,relation/2879899,,,,
112,5981,Parque Independencia,Sa,relation/2879899,,,,
112,5986,Parque Independencia,Sa,relation/2879899,,,,
112,5987,Parque Independencia,Sa,relation/2879899,,,,
112,5984,Parque Independencia,Sa,relation/2879899,,,,
112,5985,Parque Independencia,Sa,relation/2879899,,,,
158,12441,La Cooperativa,Mo-Fr,relation/4420884,,,,
266,19713,Vidriera,Sa,relation/2602458,,,,
165,14544,Terminal 165,Su,relation/4482498,,,,
168,15267,Terminal Miguel Bonilla,Mo-Fr,relation/3155254,,,,
266,19711,Vidriera,Sa,relation/2602458,,,,
210,18516,Serrano,Su,relation/2665333,,,,
